MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch,PoolArea,Fence,SaleType,SaleCondition,LivLotRatio,Spaciousness,Bldg_1Fam,Bldg_Duplex,Bldg_Twnhs,Bldg_TwnhsE,Bldg_None,PorchTypes,MedNhbdArea,Feature1,Feature2,MSSubClass_encoded,SalePrice
5,3,65.0,8450,1,2,1,3,3,4,5,2,0,5,8,6,2003,2003,1,1,12,13,1,196.0,4,3,2,4,3,1,6,706.0,1,150.0,856.0,1,5,2,5,856,854,0,1710,1.0,0.0,2,1,3,1,4,8,8,0,0,1,2003.0,2,2.0,548.0,3,3,3,0,61,0,0,0,0,0,8,4,0.20236686390532543,213.75,1710,0,0,0,0,1,1504.0,2566.0,1714568.0,239516.44621503996,208500.0
0,3,80.0,9600,1,2,1,3,3,2,24,1,0,2,7,9,1976,1976,1,1,8,8,2,0.0,3,3,1,4,3,4,5,978.0,1,284.0,1262.0,1,5,2,5,1262,0,0,1262,0.0,1.0,2,0,3,1,3,6,8,1,3,1,1976.0,2,2.0,460.0,3,3,3,298,0,0,0,0,0,0,8,4,0.13145833333333334,210.33333333333334,1262,0,0,0,0,1,1706.5,2524.0,2493712.0,185723.88327353122,181500.0
5,3,68.0,11250,1,2,2,3,3,4,5,2,0,5,8,6,2001,2002,1,1,12,13,1,162.0,4,3,2,4,3,2,6,486.0,1,434.0,920.0,1,5,2,5,920,866,0,1786,1.0,0.0,2,1,3,1,4,6,8,1,3,1,2001.0,2,2.0,608.0,3,3,3,0,42,0,0,0,0,0,8,4,0.15875555555555557,297.6666666666667,1786,0,0,0,0,1,1504.0,2706.0,1841840.0,239516.44621503996,223500.0
6,3,60.0,9550,1,2,2,3,3,0,6,2,0,5,8,6,1915,1970,1,1,13,15,2,0.0,3,3,0,3,4,1,5,216.0,1,540.0,756.0,1,4,2,5,961,756,0,1717,1.0,0.0,1,0,3,1,4,7,8,1,4,5,1998.0,1,3.0,642.0,3,3,3,0,35,272,0,0,0,0,8,0,0.17979057591623038,245.28571428571428,1717,0,0,0,0,2,1648.0,2473.0,1489320.0,166639.37908697338,140000.0
5,3,84.0,14260,1,2,2,3,3,2,15,2,0,5,9,6,2000,2000,1,1,12,13,1,350.0,4,3,2,4,3,3,6,655.0,1,490.0,1145.0,1,5,2,5,1145,1053,0,2198,1.0,0.0,2,1,4,1,4,9,8,1,3,1,2000.0,2,3.0,836.0,3,3,3,192,84,0,0,0,0,0,8,4,0.1541374474053296,244.22222222222223,2198,0,0,0,0,2,2418.0,3343.0,2290000.0,239516.44621503996,250000.0
4,3,85.0,14115,1,2,2,3,3,4,11,2,0,0,6,6,1993,1995,1,1,12,13,2,0.0,3,3,5,4,3,1,6,732.0,1,64.0,796.0,1,5,2,5,796,566,0,1362,1.0,0.0,1,1,1,1,3,5,8,0,0,1,1993.0,1,2.0,480.0,3,3,3,40,30,0,320,0,0,3,8,4,0.09649309245483528,272.4,1362,0,0,0,0,3,1282.0,2158.0,1588020.0,142556.16601399644,143000.0
0,3,75.0,10084,1,2,1,3,3,4,21,2,0,2,9,6,2004,2005,1,1,12,13,3,186.0,4,3,2,5,3,3,6,1369.0,1,317.0,1686.0,1,5,2,5,1694,0,0,1694,1.0,0.0,2,0,3,1,4,7,8,1,4,1,2004.0,2,2.0,636.0,3,3,3,255,57,0,0,0,0,0,8,4,0.16798889329631098,242.0,1694,0,0,0,0,2,1555.0,3380.0,3380430.0,185723.88327353122,307000.0
5,3,0.0,10382,1,2,2,3,3,0,14,4,0,5,8,7,1973,1973,1,1,6,6,3,240.0,3,3,1,4,3,2,5,859.0,4,216.0,1107.0,1,5,2,5,1107,983,0,2090,1.0,0.0,2,1,3,1,3,7,8,2,3,1,1973.0,2,2.0,484.0,3,3,3,235,204,228,0,0,0,0,8,4,0.20130995954536698,298.57142857142856,2090,0,0,0,0,3,1632.0,3197.0,2184111.0,239516.44621503996,200000.0
4,4,51.0,6120,1,2,1,3,3,4,17,0,0,0,8,6,1931,1950,1,1,3,15,2,0.0,3,3,0,3,3,1,1,0.0,1,952.0,952.0,1,4,2,3,1022,752,0,1774,0.0,0.0,2,0,2,2,3,8,7,2,3,5,1931.0,1,2.0,468.0,2,3,3,90,0,205,0,0,0,0,8,0,0.28986928104575166,221.75,1774,0,0,0,0,2,1374.0,2726.0,1856400.0,142556.16601399644,129900.0
15,3,50.0,7420,1,2,1,3,3,0,3,0,1,1,6,7,1939,1950,1,1,8,8,2,0.0,3,3,0,3,3,1,6,851.0,1,140.0,991.0,1,5,2,5,1077,0,0,1077,1.0,0.0,1,0,2,2,3,5,8,2,3,1,1939.0,2,1.0,205.0,4,3,3,0,4,0,0,0,0,0,8,4,0.14514824797843665,215.4,0,0,0,0,0,1,1231.0,2068.0,1932450.0,134138.21215039954,118000.0
